WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (9.835419706000039 52.337503059000028)",Unfall 174 (2024) Kat:3, Licht: 0,174,3,2,0,08,08,2,,0,1,1,0,0
"POINT (9.837051821000045 52.276997469000037)",Unfall 175 (2024) Kat:3, Licht: 1,175,3,7,0,08,20,7,,1,1,0,0,0
"POINT (9.706554263000044 52.314449398000079)",Unfall 176 (2024) Kat:3, Licht: 0,176,3,2,5,08,15,7,,0,1,1,0,0
"POINT (10.048654117000069 52.313318339000034)",Unfall 177 (2024) Kat:2, Licht: 0,177,2,6,2,08,21,7,,0,1,0,0,0
"POINT (9.762836813000035 52.344420414000069)",Unfall 178 (2024) Kat:3, Licht: 0,178,3,3,5,08,07,6,,0,1,1,0,0
"POINT (9.988546345000032 52.374153441000033)",Unfall 179 (2024) Kat:3, Licht: 0,179,3,2,5,08,17,6,,0,1,1,0,0
"POINT (9.973288113000024 52.372675415000060)",Unfall 180 (2024) Kat:3, Licht: 0,180,3,3,5,08,14,5,,0,1,1,0,0
"POINT (9.837128347000032 52.276911532000042)",Unfall 181 (2024) Kat:3, Licht: 0,181,3,7,0,08,11,4,,0,1,0,0,0
"POINT (9.598483083000076 52.394626292000055)",Unfall 182 (2024) Kat:3, Licht: 0,182,3,2,5,08,18,4,,0,1,1,0,0
"POINT (9.423261215000025 52.429396915000041)",Unfall 183 (2024) Kat:3, Licht: 0,183,3,2,0,08,11,2,,0,1,1,0,0
"POINT (9.795875268000032 52.474210514000049)",Unfall 184 (2024) Kat:3, Licht: 0,184,3,2,5,08,05,1,,0,1,1,0,0
"POINT (9.837233969000067 52.276792921000037)",Unfall 185 (2024) Kat:3, Licht: 0,185,3,7,0,08,08,5,,0,1,0,0,0
"POINT (9.838687009000068 52.274986610000042)",Unfall 186 (2024) Kat:3, Licht: 0,186,3,1,0,07,15,4,,0,1,0,0,0
