WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (7.185189629000035 50.731340641000031)",Unfall 107493 (2019) Kat:3, Licht: 2,107493,3,7,8,05,02,5,1,2,0,1,0,0
"POINT (7.133786314000076 50.732509439000069)",Unfall 107560 (2019) Kat:3, Licht: 0,107560,3,6,1,05,15,4,1,0,0,1,0,1
"POINT (7.080601056000035 50.731206840000027)",Unfall 107562 (2019) Kat:3, Licht: 0,107562,3,3,5,05,17,4,0,0,1,1,0,0
"POINT (7.082186281000077 50.736483133000036)",Unfall 107563 (2019) Kat:3, Licht: 0,107563,3,6,3,05,08,4,0,0,1,0,0,0
"POINT (7.124618663000035 50.713496398000075)",Unfall 107666 (2019) Kat:3, Licht: 0,107666,3,3,5,05,09,3,0,0,1,1,0,0
"POINT (7.153070923000030 50.686645390000081)",Unfall 107679 (2019) Kat:3, Licht: 0,107679,3,2,0,05,11,3,0,0,1,1,0,0
"POINT (7.144069840000043 50.745814766000080)",Unfall 107703 (2019) Kat:2, Licht: 0,107703,2,7,0,05,14,3,0,0,0,1,0,1
"POINT (7.127410605000023 50.740182390000029)",Unfall 107707 (2019) Kat:3, Licht: 0,107707,3,2,5,05,16,3,0,0,1,0,0,1
"POINT (7.060243459000049 50.720656437000059)",Unfall 107742 (2019) Kat:3, Licht: 0,107742,3,7,1,05,10,2,0,0,0,1,0,0
"POINT (7.115024787000039 50.760511339000061)",Unfall 107743 (2019) Kat:3, Licht: 0,107743,3,3,5,05,18,2,0,0,1,1,0,0
"POINT (7.080288369000073 50.728212518000078)",Unfall 107909 (2019) Kat:3, Licht: 0,107909,3,6,2,05,09,1,0,0,0,1,0,0
"POINT (7.105380922000052 50.734752331000038)",Unfall 108047 (2019) Kat:3, Licht: 0,108047,3,3,4,05,07,6,1,0,1,0,0,0
